id,label,position_of_motif_A,position_of_motif_B,gaplength,total_deletions_in_sequence,sequence_length
seq0054,both,23.0,52.0,20.0,13,150
seq0055,no_motif,,,,15,150
seq0056,both,20.0,129.0,100.0,5,150
seq0057,both,7.0,109.0,90.0,9,150
seq0058,B_only,,125.0,,13,150
seq0059,both,95.0,113.0,10.0,13,150
seq0060,B_only,,100.0,,14,150
seq0061,no_motif,,,,15,150
seq0062,both,25.0,92.0,60.0,0,150
seq0063,both,10.0,68.0,50.0,9,150
seq0064,A_only,28.0,,,13,150
seq0065,A_only,108.0,,,13,150
seq0066,A_only,128.0,,,13,150
seq0067,no_motif,,,,0,150
seq0068,B_only,,21.0,,0,150
seq0069,both,37.0,124.0,80.0,0,150
seq0070,both,8.0,86.0,70.0,7,150
seq0071,A_only,14.0,,,13,150
seq0072,both,27.0,132.0,90.0,11,150
seq0073,A_only,126.0,,,0,150
seq0074,B_only,,106.0,,13,150
seq0075,B_only,,24.0,,0,150
seq0076,B_only,,125.0,,13,150
seq0077,no_motif,,,,15,150
seq0078,no_motif,,,,15,150
seq0079,both,18.0,86.0,60.0,7,150
seq0080,no_motif,,,,0,150
seq0081,B_only,,104.0,,13,150
seq0082,B_only,,48.0,,0,150
seq0083,both,21.0,81.0,50.0,11,150
seq0084,both,0.0,102.0,90.0,9,150
seq0085,B_only,,14.0,,0,150
seq0086,B_only,,112.0,,14,150
seq0087,B_only,,127.0,,13,150
seq0088,A_only,1.0,,,15,150
seq0089,both,2.0,116.0,100.0,10,150
seq0090,both,3.0,61.0,50.0,10,150
seq0091,both,2.0,40.0,30.0,12,150
seq0092,B_only,,114.0,,13,150
seq0093,B_only,,14.0,,13,150
seq0094,B_only,,136.0,,14,150
seq0095,no_motif,,,,15,150
seq0096,B_only,,63.0,,0,150
seq0097,A_only,27.0,,,13,150
seq0098,both,18.0,106.0,80.0,5,150
seq0099,A_only,40.0,,,14,150
seq0100,both,4.0,94.0,80.0,8,150
seq0101,both,6.0,45.0,30.0,12,150
seq0102,no_motif,,,,15,150
seq0103,both,43.0,121.0,70.0,7,150
seq0104,A_only,51.0,,,14,150
seq0105,both,6.0,88.0,70.0,11,150
seq0106,B_only,,93.0,,14,150
seq0107,both,18.0,106.0,80.0,5,150
seq0108,both,68.0,128.0,50.0,10,150
seq0109,both,23.0,60.0,30.0,0,150
seq0110,A_only,71.0,,,0,150
seq0111,A_only,107.0,,,0,150
seq0112,no_motif,,,,0,150
seq0113,both,22.0,80.0,50.0,9,150
seq0114,both,0.0,110.0,100.0,6,150
seq0115,both,38.0,89.0,40.0,12,150
seq0116,A_only,12.0,,,14,150
seq0117,A_only,3.0,,,15,150
seq0118,both,76.0,114.0,30.0,10,150
seq0119,both,48.0,125.0,70.0,0,150
seq0120,both,22.0,133.0,100.0,7,150
seq0121,no_motif,,,,15,150
seq0122,B_only,,7.0,,0,150
seq0123,B_only,,135.0,,0,150
seq0124,A_only,37.0,,,13,150
seq0125,A_only,11.0,,,14,150
seq0126,A_only,77.0,,,0,150
seq0127,A_only,0.0,,,14,150
seq0128,B_only,,43.0,,14,150
seq0129,B_only,,13.0,,14,150
seq0130,both,25.0,131.0,90.0,12,150
seq0131,A_only,6.0,,,0,150
seq0132,no_motif,,,,15,150
seq0133,A_only,10.0,,,14,150
seq0134,A_only,66.0,,,13,150
seq0135,B_only,,37.0,,0,150
seq0136,no_motif,,,,15,150
seq0137,both,54.0,121.0,60.0,0,150
seq0138,both,19.0,86.0,60.0,0,150
seq0139,B_only,,0.0,,14,150
seq0140,A_only,69.0,,,13,150
seq0141,no_motif,,,,15,150
seq0142,A_only,58.0,,,0,150
seq0143,B_only,,71.0,,14,150
seq0144,A_only,112.0,,,14,150
seq0145,both,20.0,126.0,90.0,12,150
seq0146,both,12.0,83.0,60.0,11,150
seq0147,A_only,68.0,,,13,150
seq0148,both,2.0,117.0,100.0,11,150
seq0149,both,31.0,104.0,60.0,12,150
seq0150,both,51.0,129.0,70.0,7,150
seq0151,both,70.0,142.0,60.0,13,150
seq0152,B_only,,72.0,,14,150
seq0153,both,54.0,81.0,20.0,0,150
seq0154,both,35.0,141.0,90.0,13,150
seq0155,both,78.0,116.0,30.0,10,150
seq0156,both,60.0,78.0,10.0,13,150
seq0157,A_only,51.0,,,14,150
seq0158,both,59.0,87.0,20.0,11,150
seq0159,A_only,32.0,,,14,150
seq0160,B_only,,45.0,,0,150
seq0161,B_only,,15.0,,13,150
seq0162,both,91.0,129.0,30.0,11,150
seq0163,both,6.0,109.0,90.0,10,150
seq0164,both,26.0,136.0,100.0,6,150
seq0165,B_only,,56.0,,13,150
seq0166,A_only,134.0,,,14,150
seq0167,B_only,,91.0,,0,150
seq0168,B_only,,49.0,,0,150
seq0169,B_only,,12.0,,14,150
seq0170,A_only,20.0,,,14,150
seq0171,no_motif,,,,15,150
seq0172,both,5.0,72.0,60.0,0,150
seq0173,A_only,88.0,,,13,150
seq0174,both,26.0,93.0,60.0,0,150
seq0175,A_only,112.0,,,0,150
seq0176,A_only,1.0,,,15,150
seq0177,both,35.0,85.0,40.0,11,150
seq0178,both,13.0,41.0,20.0,12,150
seq0179,both,36.0,85.0,40.0,10,150
seq0180,both,3.0,80.0,70.0,0,150
seq0181,no_motif,,,,0,150
seq0182,both,21.0,50.0,20.0,13,150
seq0183,both,12.0,30.0,10.0,13,150
seq0184,both,85.0,124.0,30.0,11,150
seq0185,B_only,,20.0,,14,150
seq0186,A_only,16.0,,,13,150
seq0187,both,5.0,114.0,100.0,5,150
seq0188,B_only,,46.0,,13,150
seq0189,both,27.0,124.0,90.0,0,150
seq0190,A_only,106.0,,,13,150
seq0191,both,57.0,75.0,10.0,12,150
seq0192,A_only,57.0,,,13,150
seq0193,both,76.0,104.0,20.0,11,150
seq0194,B_only,,11.0,,14,150
seq0195,B_only,,35.0,,13,150
seq0196,both,15.0,95.0,70.0,8,150
seq0197,both,94.0,112.0,10.0,13,150
seq0198,both,20.0,122.0,90.0,9,150
seq0199,both,49.0,116.0,60.0,0,150
seq0200,no_motif,,,,15,150
seq0201,both,121.0,138.0,10.0,0,150
seq0202,A_only,58.0,,,13,150
seq0203,both,29.0,46.0,10.0,0,150
seq0204,A_only,128.0,,,0,150
seq0205,no_motif,,,,15,150
seq0206,A_only,122.0,,,14,150
seq0207,both,30.0,92.0,50.0,13,150
seq0208,A_only,46.0,,,13,150
seq0209,both,6.0,54.0,40.0,10,150
seq0210,both,35.0,117.0,70.0,10,150
seq0211,A_only,18.0,,,13,150
seq0212,both,28.0,55.0,20.0,0,150
seq0213,both,86.0,103.0,10.0,0,150
seq0214,both,62.0,135.0,60.0,13,150
seq0215,both,4.0,87.0,70.0,12,150
seq0216,A_only,69.0,,,13,150
seq0217,A_only,41.0,,,14,150
seq0218,no_motif,,,,15,150
seq0219,both,118.0,136.0,10.0,13,150
seq0220,B_only,,126.0,,13,150
seq0221,both,4.0,118.0,100.0,10,150
seq0222,A_only,56.0,,,13,150
seq0223,both,23.0,41.0,10.0,13,150
seq0224,A_only,100.0,,,14,150
seq0225,both,62.0,135.0,60.0,13,150
seq0226,B_only,,119.0,,13,150
seq0227,B_only,,117.0,,13,150
seq0228,both,19.0,129.0,100.0,5,150
seq0229,both,13.0,81.0,60.0,8,150
seq0230,both,20.0,108.0,80.0,6,150
seq0231,B_only,,92.0,,14,150
seq0232,both,18.0,95.0,70.0,0,150
seq0233,both,80.0,119.0,30.0,12,150
seq0234,both,73.0,140.0,60.0,0,150
seq0235,both,37.0,98.0,50.0,11,150
seq0236,B_only,,143.0,,14,150
seq0237,both,16.0,67.0,40.0,12,150
seq0238,both,18.0,126.0,100.0,3,150
seq0239,no_motif,,,,0,150
seq0240,B_only,,58.0,,13,150
seq0241,no_motif,,,,15,150
seq0242,no_motif,,,,15,150
seq0243,A_only,32.0,,,0,150
seq0244,both,24.0,122.0,90.0,5,150
seq0245,no_motif,,,,15,150
seq0246,both,32.0,138.0,90.0,13,150
seq0247,both,55.0,122.0,60.0,0,150
seq0248,A_only,113.0,,,14,150
seq0249,B_only,,47.0,,13,150
seq0250,B_only,,120.0,,14,150
seq0251,no_motif,,,,15,150
seq0252,B_only,,77.0,,0,150
seq0253,A_only,58.0,,,13,150
seq0254,A_only,126.0,,,13,150
seq0255,both,3.0,100.0,90.0,0,150
seq0256,no_motif,,,,0,150
seq0257,no_motif,,,,0,150
seq0258,B_only,,5.0,,14,150
seq0259,no_motif,,,,15,150
seq0260,both,8.0,125.0,100.0,12,150
seq0261,both,41.0,81.0,30.0,13,150
seq0262,both,37.0,66.0,20.0,12,150
seq0263,both,9.0,37.0,20.0,12,150
seq0264,A_only,38.0,,,13,150
seq0265,A_only,111.0,,,14,150
seq0266,both,105.0,143.0,30.0,11,150
seq0267,B_only,,113.0,,14,150
seq0268,B_only,,47.0,,13,150
seq0269,B_only,,134.0,,14,150
seq0270,A_only,2.0,,,15,150
seq0271,both,60.0,97.0,30.0,0,150
seq0272,both,30.0,127.0,90.0,0,150
seq0273,both,29.0,116.0,80.0,0,150
seq0274,A_only,130.0,,,14,150
seq0275,A_only,127.0,,,13,150
seq0276,A_only,33.0,,,14,150
seq0277,both,39.0,76.0,30.0,0,150
seq0278,both,68.0,127.0,50.0,9,150
seq0279,both,67.0,136.0,60.0,9,150
seq0280,no_motif,,,,15,150
seq0281,B_only,,6.0,,14,150
seq0282,B_only,,107.0,,13,150
seq0283,no_motif,,,,15,150
seq0284,both,7.0,97.0,80.0,8,150
seq0285,B_only,,134.0,,0,150
seq0286,both,91.0,131.0,30.0,13,150
seq0287,both,32.0,109.0,70.0,0,150
seq0288,A_only,53.0,,,0,150
seq0289,A_only,106.0,,,13,150
seq0290,B_only,,43.0,,14,150
seq0291,B_only,,13.0,,14,150
seq0292,no_motif,,,,15,150
seq0293,both,62.0,113.0,40.0,13,150
seq0294,B_only,,50.0,,14,150
seq0295,both,99.0,116.0,10.0,0,150
seq0296,both,13.0,107.0,80.0,11,150
seq0297,both,57.0,129.0,60.0,11,150
seq0298,both,14.0,83.0,60.0,9,150
seq0299,no_motif,,,,15,150
seq0300,both,18.0,111.0,80.0,10,150
seq0301,both,27.0,74.0,40.0,0,150
seq0302,B_only,,112.0,,14,150
seq0303,both,10.0,68.0,50.0,9,150
seq0304,B_only,,58.0,,13,150
seq0305,B_only,,15.0,,0,150
seq0306,both,92.0,142.0,40.0,13,150
seq0307,both,77.0,134.0,50.0,0,150
seq0308,both,22.0,93.0,60.0,11,150
seq0309,A_only,84.0,,,13,150
seq0310,B_only,,63.0,,14,150
seq0311,both,72.0,131.0,50.0,10,150
seq0312,B_only,,117.0,,13,150
seq0313,both,10.0,118.0,100.0,4,150
seq0314,both,14.0,126.0,100.0,7,150
seq0315,both,18.0,77.0,50.0,9,150
seq0316,B_only,,28.0,,13,150
seq0317,A_only,43.0,,,0,150
seq0318,B_only,,114.0,,13,150
seq0319,B_only,,12.0,,14,150
seq0320,A_only,34.0,,,0,150
seq0321,both,44.0,117.0,60.0,12,150
seq0322,A_only,8.0,,,14,150
seq0323,both,120.0,138.0,10.0,14,150
seq0324,both,84.0,123.0,30.0,12,150
seq0325,B_only,,3.0,,15,150
seq0326,both,38.0,125.0,80.0,0,150
seq0327,both,19.0,56.0,30.0,0,150
seq0328,B_only,,3.0,,15,150
seq0329,both,63.0,103.0,30.0,13,150
seq0330,no_motif,,,,15,150
seq0331,B_only,,30.0,,14,150
seq0332,A_only,58.0,,,13,150
seq0333,B_only,,34.0,,0,150
seq0334,no_motif,,,,15,150
seq0335,A_only,123.0,,,0,150
seq0336,both,4.0,76.0,60.0,12,150
seq0337,A_only,80.0,,,14,150
seq0338,both,27.0,118.0,80.0,8,150
seq0339,both,0.0,93.0,80.0,11,150
seq0340,A_only,126.0,,,0,150
seq0341,B_only,,45.0,,13,150
seq0342,B_only,,18.0,,13,150
seq0343,both,96.0,136.0,30.0,13,150
seq0344,B_only,,130.0,,14,150
seq0345,B_only,,63.0,,14,150
seq0346,both,52.0,80.0,20.0,12,150
seq0347,A_only,93.0,,,14,150
seq0348,both,125.0,143.0,10.0,13,150
seq0349,B_only,,104.0,,13,150
seq0350,B_only,,120.0,,14,150
seq0351,A_only,1.0,,,0,150
seq0352,A_only,102.0,,,0,150
seq0353,both,19.0,48.0,20.0,12,150
seq0354,both,42.0,139.0,90.0,0,150
seq0355,both,94.0,134.0,30.0,13,150
seq0356,B_only,,68.0,,13,150
seq0357,both,10.0,125.0,100.0,10,150
seq0358,both,50.0,119.0,60.0,9,150
seq0359,both,5.0,118.0,100.0,9,150
seq0360,both,21.0,109.0,80.0,6,150
seq0361,both,39.0,90.0,40.0,12,150
seq0362,both,53.0,133.0,70.0,9,150
seq0363,A_only,68.0,,,13,150
seq0364,B_only,,135.0,,14,150
seq0365,no_motif,,,,15,150
seq0366,both,107.0,136.0,20.0,13,150
seq0367,A_only,15.0,,,0,150
seq0368,both,49.0,87.0,30.0,10,150
seq0369,both,14.0,118.0,90.0,10,150
seq0370,both,14.0,53.0,30.0,12,150
seq0371,B_only,,27.0,,13,150
seq0372,both,84.0,143.0,50.0,10,150
seq0373,no_motif,,,,0,150
seq0374,B_only,,28.0,,13,150
seq0375,no_motif,,,,15,150
seq0376,no_motif,,,,15,150
seq0377,B_only,,110.0,,14,150
seq0378,both,72.0,110.0,30.0,11,150
seq0379,both,14.0,121.0,100.0,0,150
seq0380,A_only,66.0,,,13,150
seq0381,A_only,22.0,,,0,150
seq0382,A_only,57.0,,,0,150
seq0383,B_only,,143.0,,14,150
seq0384,B_only,,21.0,,14,150
seq0385,both,29.0,99.0,60.0,9,150
seq0386,both,75.0,122.0,40.0,0,150
seq0387,A_only,84.0,,,13,150
seq0388,both,51.0,80.0,20.0,13,150
seq0389,B_only,,70.0,,14,150
seq0390,both,47.0,137.0,80.0,8,150
seq0391,B_only,,139.0,,14,150
seq0392,no_motif,,,,15,150
seq0393,both,11.0,101.0,80.0,8,150
seq0394,both,101.0,140.0,30.0,13,150
seq0395,no_motif,,,,0,150
seq0396,both,22.0,49.0,20.0,0,150
seq0397,both,41.0,125.0,70.0,12,150
seq0398,A_only,76.0,,,13,150
seq0399,both,31.0,128.0,90.0,0,150
seq0400,B_only,,129.0,,0,150
seq0401,both,29.0,47.0,10.0,12,150
seq0402,B_only,,89.0,,0,150
seq0403,both,12.0,109.0,90.0,0,150
seq0404,no_motif,,,,15,150
seq0405,no_motif,,,,15,150
seq0406,both,101.0,140.0,30.0,13,150
seq0407,B_only,,87.0,,13,150
seq0408,B_only,,40.0,,14,150
seq0409,no_motif,,,,0,150
seq0410,both,56.0,143.0,80.0,0,150
seq0411,B_only,,49.0,,13,150
seq0412,B_only,,102.0,,14,150
seq0413,both,114.0,132.0,10.0,13,150
seq0414,both,7.0,77.0,60.0,10,150
seq0415,both,0.0,112.0,100.0,8,150
seq0416,both,14.0,32.0,10.0,13,150
seq0417,B_only,,94.0,,13,150
seq0418,A_only,56.0,,,13,150
seq0419,both,20.0,87.0,60.0,0,150
seq0420,both,94.0,134.0,30.0,13,150
seq0421,both,72.0,111.0,30.0,12,150
seq0422,A_only,1.0,,,15,150
seq0423,A_only,62.0,,,14,150
seq0424,A_only,25.0,,,13,150
seq0425,both,73.0,134.0,50.0,12,150
seq0426,A_only,27.0,,,0,150
seq0427,no_motif,,,,15,150
seq0428,B_only,,19.0,,13,150
seq0429,both,39.0,118.0,70.0,7,150
seq0430,B_only,,98.0,,13,150
seq0431,A_only,105.0,,,13,150
seq0432,both,83.0,101.0,10.0,13,150
seq0433,both,72.0,112.0,30.0,13,150
seq0434,B_only,,96.0,,13,150
seq0435,A_only,124.0,,,13,150
seq0436,both,30.0,92.0,50.0,13,150
seq0437,both,49.0,67.0,10.0,12,150
seq0438,B_only,,8.0,,0,150
seq0439,both,84.0,134.0,40.0,12,150
seq0440,both,59.0,137.0,70.0,7,150
seq0441,B_only,,59.0,,13,150
seq0442,both,12.0,60.0,40.0,10,150
seq0443,B_only,,22.0,,14,150
seq0444,both,12.0,59.0,40.0,0,150
seq0445,B_only,,134.0,,0,150
seq0446,B_only,,44.0,,13,150
seq0447,both,46.0,133.0,80.0,0,150
seq0448,both,18.0,129.0,100.0,6,150
seq0449,both,10.0,112.0,90.0,9,150
seq0450,both,57.0,128.0,60.0,10,150
seq0451,both,88.0,136.0,40.0,10,150
seq0452,A_only,142.0,,,15,150
seq0453,A_only,16.0,,,13,150
seq0454,A_only,106.0,,,13,150
seq0455,both,37.0,84.0,40.0,0,150
seq0456,no_motif,,,,15,150
seq0457,no_motif,,,,15,150
seq0458,both,14.0,53.0,30.0,12,150
seq0459,both,18.0,115.0,90.0,0,150
seq0460,B_only,,20.0,,0,150
seq0461,both,12.0,29.0,10.0,0,150
seq0462,both,77.0,114.0,30.0,0,150
seq0463,B_only,,141.0,,0,150
seq0464,B_only,,7.0,,14,150
seq0465,A_only,25.0,,,13,150
seq0466,both,32.0,80.0,40.0,10,150
seq0467,A_only,61.0,,,14,150
seq0468,both,21.0,90.0,60.0,9,150
seq0469,both,35.0,53.0,10.0,13,150
seq0470,no_motif,,,,15,150
seq0471,A_only,42.0,,,14,150
seq0472,both,15.0,104.0,80.0,6,150
seq0473,B_only,,74.0,,13,150
seq0474,both,0.0,99.0,90.0,6,150
seq0475,B_only,,61.0,,14,150
seq0476,both,0.0,87.0,80.0,0,150
seq0477,A_only,1.0,,,15,150
seq0478,B_only,,77.0,,13,150
seq0479,A_only,73.0,,,14,150
seq0480,B_only,,18.0,,0,150
seq0481,both,11.0,114.0,90.0,9,150
seq0482,B_only,,105.0,,13,150
seq0483,B_only,,114.0,,0,150
seq0484,both,28.0,76.0,40.0,9,150
seq0485,both,27.0,131.0,90.0,10,150
seq0486,B_only,,103.0,,14,150
seq0487,both,14.0,93.0,70.0,8,150
seq0488,B_only,,7.0,,14,150
seq0489,A_only,53.0,,,14,150
seq0490,A_only,79.0,,,0,150
seq0491,A_only,34.0,,,13,150
seq0492,B_only,,7.0,,14,150
seq0493,no_motif,,,,15,150
seq0494,B_only,,25.0,,13,150
seq0495,both,19.0,87.0,60.0,7,150
seq0496,A_only,122.0,,,14,150
seq0497,both,6.0,65.0,50.0,10,150
seq0498,both,105.0,123.0,10.0,13,150
seq0499,both,19.0,132.0,100.0,8,150
seq0500,B_only,,123.0,,14,150
seq0501,both,24.0,131.0,100.0,0,150
seq0502,both,10.0,119.0,100.0,5,150
seq0503,no_motif,,,,15,150
seq0504,B_only,,139.0,,14,150
seq0505,both,49.0,107.0,50.0,8,150
seq0506,A_only,133.0,,,14,150
seq0507,both,34.0,128.0,80.0,11,150
seq0508,B_only,,59.0,,0,150
seq0509,both,7.0,34.0,20.0,0,150
seq0510,A_only,141.0,,,0,150
seq0511,A_only,44.0,,,0,150
seq0512,both,47.0,114.0,60.0,0,150
seq0513,both,68.0,108.0,30.0,12,150
seq0514,both,9.0,119.0,100.0,6,150
seq0515,A_only,20.0,,,14,150
seq0516,both,55.0,73.0,10.0,13,150
seq0517,both,58.0,125.0,60.0,0,150
seq0518,A_only,14.0,,,13,150
seq0519,A_only,114.0,,,13,150
seq0520,A_only,73.0,,,14,150
seq0521,A_only,94.0,,,0,150
seq0522,B_only,,117.0,,13,150
seq0523,both,0.0,101.0,90.0,8,150
seq0524,both,59.0,98.0,30.0,11,150
seq0525,both,19.0,117.0,90.0,4,150
seq0526,A_only,9.0,,,14,150
seq0527,A_only,102.0,,,14,150
seq0528,A_only,81.0,,,14,150
seq0529,A_only,76.0,,,13,150
seq0530,A_only,6.0,,,0,150
seq0531,B_only,,15.0,,13,150
seq0532,B_only,,117.0,,13,150
seq0533,A_only,123.0,,,14,150
seq0534,both,83.0,101.0,10.0,13,150
seq0535,A_only,27.0,,,13,150
seq0536,A_only,81.0,,,14,150
seq0537,both,57.0,106.0,40.0,10,150
seq0538,A_only,69.0,,,13,150
seq0539,both,57.0,140.0,70.0,12,150
seq0540,both,39.0,77.0,30.0,10,150
seq0541,both,42.0,111.0,60.0,9,150
seq0542,both,21.0,121.0,90.0,7,150
seq0543,both,62.0,132.0,60.0,10,150
seq0544,both,30.0,121.0,80.0,9,150
seq0545,both,115.0,143.0,20.0,12,150
seq0546,A_only,70.0,,,0,150
seq0547,both,2.0,20.0,10.0,14,150
seq0548,B_only,,99.0,,13,150
seq0549,A_only,120.0,,,14,150
seq0550,B_only,,69.0,,13,150
seq0551,no_motif,,,,15,150
seq0552,B_only,,58.0,,13,150
seq0553,A_only,38.0,,,0,150
seq0554,A_only,59.0,,,13,150
seq0555,no_motif,,,,0,150
seq0556,A_only,33.0,,,14,150
seq0557,B_only,,6.0,,0,150
seq0558,B_only,,15.0,,0,150
seq0559,both,27.0,136.0,100.0,5,150
seq0560,A_only,128.0,,,13,150
seq0561,A_only,46.0,,,13,150
seq0562,both,53.0,115.0,50.0,12,150
seq0563,both,69.0,127.0,50.0,8,150
seq0564,both,41.0,132.0,80.0,9,150
seq0565,both,79.0,128.0,40.0,10,150
seq0566,no_motif,,,,15,150
seq0567,no_motif,,,,15,150
seq0568,both,39.0,96.0,50.0,0,150
seq0569,A_only,17.0,,,0,150
seq0570,A_only,80.0,,,14,150
seq0571,both,4.0,81.0,70.0,0,150
seq0572,B_only,,63.0,,14,150
seq0573,no_motif,,,,15,150
seq0574,both,20.0,90.0,60.0,10,150
seq0575,no_motif,,,,0,150
seq0576,both,41.0,68.0,20.0,0,150
seq0577,B_only,,78.0,,0,150
seq0578,both,68.0,135.0,60.0,0,150
seq0579,A_only,92.0,,,0,150
seq0580,A_only,22.0,,,14,150
seq0581,A_only,103.0,,,14,150
seq0582,both,2.0,39.0,30.0,0,150
seq0583,both,0.0,103.0,90.0,10,150
seq0584,both,45.0,123.0,70.0,7,150
seq0585,both,0.0,92.0,80.0,10,150
seq0586,both,16.0,86.0,60.0,9,150
seq0587,A_only,85.0,,,0,150
seq0588,both,38.0,126.0,80.0,5,150
seq0589,A_only,10.0,,,14,150
seq0590,B_only,,120.0,,0,150
seq0591,B_only,,55.0,,0,150
seq0592,both,20.0,117.0,90.0,0,150
seq0593,both,55.0,143.0,80.0,6,150
seq0594,B_only,,18.0,,13,150
seq0595,A_only,78.0,,,13,150
seq0596,A_only,99.0,,,13,150
seq0597,B_only,,105.0,,0,150
seq0598,no_motif,,,,15,150
seq0599,both,14.0,121.0,100.0,0,150
seq0600,B_only,,55.0,,13,150
seq0601,both,14.0,129.0,100.0,10,150
seq0602,both,6.0,106.0,90.0,7,150
seq0603,no_motif,,,,15,150
seq0604,both,15.0,63.0,40.0,10,150
seq0605,both,8.0,122.0,100.0,10,150
seq0606,B_only,,23.0,,14,150
seq0607,B_only,,65.0,,13,150
seq0608,B_only,,89.0,,13,150
seq0609,both,9.0,26.0,10.0,0,150
seq0610,both,7.0,47.0,30.0,13,150
seq0611,B_only,,32.0,,14,150
seq0612,both,60.0,119.0,50.0,10,150
seq0613,A_only,13.0,,,14,150
seq0614,B_only,,100.0,,14,150
seq0615,A_only,139.0,,,14,150
seq0616,A_only,73.0,,,14,150
seq0617,A_only,10.0,,,14,150
seq0618,no_motif,,,,15,150
seq0619,both,38.0,127.0,80.0,6,150
seq0620,both,0.0,37.0,30.0,0,150
seq0621,B_only,,97.0,,13,150
seq0622,no_motif,,,,15,150
seq0623,A_only,40.0,,,14,150
seq0624,B_only,,85.0,,13,150
seq0625,both,17.0,127.0,100.0,5,150
seq0626,B_only,,78.0,,0,150
seq0627,A_only,79.0,,,13,150
seq0628,both,44.0,73.0,20.0,13,150
seq0629,A_only,121.0,,,14,150
seq0630,both,20.0,99.0,70.0,8,150
seq0631,A_only,73.0,,,14,150
seq0632,both,14.0,83.0,60.0,9,150
seq0633,B_only,,108.0,,13,150
seq0634,both,47.0,140.0,80.0,11,150
seq0635,no_motif,,,,0,150
seq0636,A_only,105.0,,,13,150
seq0637,B_only,,61.0,,0,150
seq0638,no_motif,,,,15,150
seq0639,A_only,36.0,,,13,150
seq0640,both,14.0,125.0,100.0,6,150
seq0641,no_motif,,,,15,150
seq0642,both,32.0,139.0,100.0,0,150
seq0643,both,4.0,118.0,100.0,10,150
seq0644,both,37.0,130.0,80.0,10,150
seq0645,both,14.0,71.0,50.0,0,150
seq0646,A_only,57.0,,,13,150
seq0647,A_only,66.0,,,13,150
seq0648,B_only,,30.0,,14,150
seq0649,both,17.0,68.0,40.0,12,150
seq0650,A_only,83.0,,,14,150
seq0651,both,14.0,41.0,20.0,0,150
seq0652,both,6.0,101.0,80.0,13,150
seq0653,A_only,105.0,,,13,150
seq0654,both,27.0,76.0,40.0,10,150
seq0655,B_only,,50.0,,14,150
seq0656,both,12.0,121.0,100.0,5,150
seq0657,both,27.0,55.0,20.0,11,150
seq0658,A_only,47.0,,,13,150
seq0659,both,62.0,100.0,30.0,11,150
seq0660,both,21.0,116.0,80.0,12,150
seq0661,A_only,120.0,,,14,150
seq0662,both,18.0,98.0,70.0,8,150
seq0663,both,57.0,116.0,50.0,9,150
seq0664,both,40.0,58.0,10.0,13,150
seq0665,B_only,,78.0,,13,150
seq0666,both,12.0,49.0,30.0,0,150
seq0667,both,46.0,63.0,10.0,0,150
seq0668,both,107.0,125.0,10.0,12,150
seq0669,both,109.0,137.0,20.0,12,150
seq0670,both,84.0,111.0,20.0,0,150
seq0671,no_motif,,,,15,150
seq0672,A_only,68.0,,,0,150
seq0673,both,112.0,140.0,20.0,13,150
seq0674,B_only,,70.0,,0,150
seq0675,both,17.0,124.0,100.0,0,150
