id,position_of_motif_A,position_of_motif_B,gaplength,total_deletions_per_sequence,del_between
seq0970,91.0,119.0,20.0,12,1.0
seq0971,0.0,110.0,100.0,6,3.0
seq0972,51.0,80.0,20.0,13,2.0
seq0975,67.0,84.0,10.0,0,0.0
seq0978,59.0,88.0,20.0,12,2.0
seq0980,56.0,129.0,60.0,12,6.0
seq0981,47.0,106.0,50.0,9,2.0
seq0986,15.0,106.0,80.0,8,4.0
seq0990,51.0,138.0,80.0,0,0.0
seq0992,69.0,131.0,50.0,12,5.0
seq0993,35.0,94.0,50.0,9,2.0
seq0995,16.0,107.0,80.0,8,4.0
seq1001,34.0,117.0,70.0,11,6.0
seq1002,21.0,72.0,40.0,13,4.0
seq1003,66.0,93.0,20.0,0,0.0
seq1008,28.0,100.0,60.0,11,5.0
seq1009,26.0,98.0,60.0,11,5.0
seq1013,20.0,131.0,100.0,7,4.0
seq1014,26.0,135.0,100.0,5,2.0
seq1015,39.0,97.0,50.0,8,1.0
seq1016,8.0,35.0,20.0,0,0.0
seq1017,37.0,77.0,30.0,12,3.0
seq1018,2.0,42.0,30.0,14,3.0
seq1021,66.0,94.0,20.0,11,1.0
seq1023,7.0,122.0,100.0,11,8.0
seq1028,67.0,96.0,20.0,12,2.0
seq1029,82.0,132.0,40.0,12,3.0
seq1034,2.0,30.0,20.0,13,1.0
seq1035,38.0,107.0,60.0,8,2.0
seq1036,2.0,84.0,70.0,11,5.0
seq1038,33.0,120.0,80.0,0,0.0
seq1039,25.0,83.0,50.0,9,1.0
seq1040,12.0,29.0,10.0,0,0.0
seq1042,24.0,81.0,50.0,0,0.0
seq1045,75.0,125.0,40.0,11,3.0
seq1048,1.0,108.0,100.0,0,0.0
seq1049,20.0,60.0,30.0,13,3.0
seq1055,52.0,99.0,40.0,0,0.0
seq1060,51.0,91.0,30.0,13,3.0
seq1062,41.0,78.0,30.0,0,0.0
seq1071,106.0,135.0,20.0,13,2.0
seq1073,16.0,66.0,40.0,11,3.0
seq1082,61.0,122.0,50.0,12,4.0
seq1083,37.0,138.0,90.0,8,4.0
seq1086,37.0,107.0,60.0,9,3.0
seq1091,18.0,128.0,100.0,5,3.0
seq1092,85.0,132.0,40.0,0,0.0
seq1097,102.0,120.0,10.0,13,1.0
seq1099,32.0,94.0,50.0,12,5.0
seq1100,77.0,115.0,30.0,10,1.0
seq1101,31.0,81.0,40.0,12,3.0
seq1104,42.0,142.0,90.0,8,3.0
seq1105,36.0,83.0,40.0,0,0.0
seq1108,96.0,125.0,20.0,12,2.0
seq1109,67.0,134.0,60.0,0,0.0
seq1111,34.0,114.0,70.0,8,3.0
seq1114,11.0,120.0,100.0,5,2.0
seq1115,11.0,62.0,40.0,13,4.0
seq1116,41.0,136.0,80.0,13,8.0
seq1117,21.0,138.0,100.0,13,10.0
seq1118,69.0,140.0,60.0,11,4.0
seq1121,9.0,36.0,20.0,0,0.0
seq1126,2.0,92.0,80.0,9,3.0
seq1131,48.0,107.0,50.0,9,2.0
seq1139,23.0,92.0,60.0,9,2.0
seq1140,43.0,71.0,20.0,12,1.0
seq1143,84.0,123.0,30.0,12,2.0
seq1144,98.0,137.0,30.0,12,2.0
seq1145,82.0,100.0,10.0,13,1.0
seq1146,11.0,118.0,100.0,0,0.0
seq1148,64.0,102.0,30.0,11,1.0
seq1149,112.0,130.0,10.0,13,1.0
seq1151,95.0,122.0,20.0,0,0.0
seq1152,72.0,120.0,40.0,10,1.0
seq1154,32.0,49.0,10.0,0,0.0
seq1162,43.0,140.0,90.0,0,0.0
seq1164,40.0,111.0,60.0,11,4.0
seq1169,28.0,100.0,60.0,11,5.0
seq1178,26.0,116.0,80.0,7,3.0
seq1180,42.0,110.0,60.0,8,1.0
seq1182,7.0,24.0,10.0,0,0.0
seq1187,17.0,120.0,90.0,9,6.0
seq1189,48.0,119.0,60.0,10,4.0
seq1190,49.0,122.0,60.0,12,6.0
seq1193,50.0,110.0,50.0,11,3.0
seq1194,57.0,104.0,40.0,0,0.0
seq1195,4.0,51.0,40.0,0,0.0
seq1196,35.0,73.0,30.0,11,1.0
seq1198,43.0,143.0,90.0,7,3.0
seq1202,18.0,46.0,20.0,11,1.0
seq1204,5.0,110.0,90.0,12,8.0
seq1206,8.0,101.0,80.0,11,6.0
seq1207,23.0,130.0,100.0,0,0.0
seq1208,40.0,110.0,60.0,10,3.0
seq1210,57.0,118.0,50.0,11,4.0
seq1214,13.0,80.0,60.0,0,0.0
seq1215,22.0,104.0,70.0,10,5.0
seq1217,80.0,131.0,40.0,13,4.0
seq1222,76.0,127.0,40.0,12,4.0
seq1223,41.0,92.0,40.0,13,4.0
seq1228,18.0,36.0,10.0,12,1.0
seq1231,69.0,106.0,30.0,0,0.0
seq1232,12.0,92.0,70.0,9,3.0
seq1236,8.0,67.0,50.0,10,2.0
seq1238,8.0,125.0,100.0,12,10.0
seq1241,48.0,117.0,60.0,8,2.0
seq1245,14.0,109.0,80.0,12,8.0
seq1246,3.0,21.0,10.0,14,1.0
seq1249,4.0,85.0,70.0,10,4.0
seq1250,28.0,132.0,90.0,10,7.0
seq1256,25.0,64.0,30.0,11,2.0
seq1262,7.0,58.0,40.0,13,4.0
seq1263,23.0,131.0,100.0,4,1.0
seq1266,15.0,102.0,80.0,0,0.0
seq1270,38.0,55.0,10.0,0,0.0
seq1271,122.0,140.0,10.0,14,1.0
seq1275,47.0,140.0,80.0,11,6.0
seq1278,30.0,87.0,50.0,0,0.0
seq1285,41.0,120.0,70.0,8,2.0
seq1286,14.0,122.0,100.0,4,1.0
seq1290,35.0,112.0,70.0,0,0.0
seq1291,69.0,107.0,30.0,10,1.0
seq1293,34.0,95.0,50.0,11,4.0
seq1294,31.0,108.0,70.0,0,0.0
seq1295,17.0,124.0,100.0,0,0.0
seq1299,69.0,118.0,40.0,10,2.0
seq1301,25.0,119.0,80.0,11,7.0
seq1302,48.0,141.0,80.0,11,6.0
seq1303,16.0,123.0,100.0,0,0.0
seq1305,14.0,111.0,90.0,0,0.0
seq1307,58.0,116.0,50.0,8,1.0
seq1308,11.0,114.0,90.0,9,6.0
seq1309,26.0,99.0,60.0,12,6.0
seq1315,104.0,132.0,20.0,12,1.0
seq1316,66.0,113.0,40.0,0,0.0
seq1319,34.0,131.0,90.0,0,0.0
seq1324,65.0,92.0,20.0,0,0.0
seq1326,55.0,133.0,70.0,7,1.0
seq1332,10.0,68.0,50.0,9,1.0
seq1334,25.0,53.0,20.0,12,1.0
seq1341,13.0,120.0,100.0,0,0.0
seq1347,12.0,118.0,90.0,12,9.0
seq1348,123.0,141.0,10.0,14,1.0
seq1350,20.0,125.0,90.0,11,8.0
seq1352,70.0,137.0,60.0,0,0.0
seq1357,29.0,47.0,10.0,12,1.0
seq1358,100.0,118.0,10.0,13,1.0
seq1360,13.0,108.0,80.0,12,8.0
seq1361,22.0,100.0,70.0,7,1.0
seq1363,44.0,71.0,20.0,0,0.0
seq1364,89.0,126.0,30.0,0,0.0
seq1365,3.0,76.0,60.0,13,6.0
seq1371,40.0,134.0,80.0,12,7.0
seq1372,6.0,101.0,80.0,13,8.0
seq1373,62.0,90.0,20.0,12,1.0
seq1380,3.0,60.0,50.0,0,0.0
seq1382,7.0,118.0,100.0,7,4.0
seq1384,17.0,89.0,60.0,11,5.0
seq1389,45.0,74.0,20.0,12,2.0
seq1394,50.0,118.0,60.0,8,1.0
seq1395,7.0,101.0,80.0,12,7.0
seq1399,41.0,133.0,80.0,10,5.0
seq1410,4.0,55.0,40.0,13,4.0
seq1415,15.0,122.0,100.0,0,0.0
seq1416,87.0,137.0,40.0,12,3.0
seq1417,22.0,111.0,80.0,7,2.0
seq1419,45.0,74.0,20.0,12,2.0
seq1434,11.0,103.0,80.0,10,5.0
seq1439,107.0,125.0,10.0,12,1.0
seq1441,51.0,90.0,30.0,12,2.0
seq1444,13.0,125.0,100.0,7,5.0
seq1445,28.0,105.0,70.0,0,0.0
seq1449,30.0,98.0,60.0,8,1.0
seq1453,5.0,120.0,100.0,11,8.0
seq1455,11.0,50.0,30.0,12,2.0
seq1456,9.0,26.0,10.0,0,0.0
seq1457,31.0,118.0,80.0,0,0.0
seq1459,11.0,29.0,10.0,13,1.0
seq1460,24.0,125.0,90.0,7,4.0
seq1461,101.0,138.0,30.0,0,0.0
seq1462,10.0,28.0,10.0,13,1.0
seq1464,11.0,126.0,100.0,10,8.0
seq1465,25.0,142.0,100.0,13,10.0
seq1466,26.0,64.0,30.0,10,1.0
seq1467,24.0,104.0,70.0,8,3.0
seq1468,17.0,105.0,80.0,5,1.0
