seq_id,bucket,label,alt_both_mode
seq07065,both_between,both,flanks_only
seq06410,both_between,both,flanks_only
seq09406,both_between,both,flanks_only
seq01001,both_between,both,flanks_only
seq03818,both_between,both,flanks_only
seq08610,both_between,both,flanks_only
seq02678,both_between,both,flanks_only
seq08760,both_between,both,flanks_only
seq01863,both_between,both,flanks_only
seq07542,both_between,both,flanks_only
seq03321,both_between,both,flanks_only
seq05014,both_between,both,flanks_only
seq09518,both_between,both,flanks_only
seq00889,both_between,both,flanks_only
seq04043,both_between,both,flanks_only
